# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
AWTEventQueue.dispatchTime90PNs,1757675108384000000,1757675168392000000,204799
FlushQueue.tasksExecuted,1757675108384000000,1757675168392000000,4515
NonBlockingReadAction.finalizedExecutionTimeUs,1757675108384000000,1757675168392000000,204986
ReadAction.executionsCount,1757675108384000000,1757675168392000000,119293
AWTEventQueue.dispatchTimeTotalNS,1757675108384000000,1757675168392000000,6606557078
AWTEventQueue.dispatchTimeMaxNs,1757675108384000000,1757675168392000000,375390207
NonBlockingReadAction.finalizedExecutionsCount,1757675108384000000,1757675168392000000,33
WriteAction.executionsCount,1757675108384000000,1757675168392000000,11
FlushQueue.waitingTimeMaxNs,1757675108384000000,1757675168392000000,641728511
NonBlockingReadAction.failedExecutionTimeUs,1757675108384000000,1757675168392000000,57
FlushQueue.queueSize90P,1757675108384000000,1757675168392000000,12
FlushQueue.waitingTime90PNs,1757675108384000000,1757675168392000000,11206655
FlushQueue.waitingTimeAvgNs,1757675108384000000,1757675168392000000,1.5628012677740864E7
FlushQueue.executionTimeAvgNs,1757675108384000000,1757675168392000000,368557.97696567
NonBlockingReadAction.failedExecutionsCount,1757675108384000000,1757675168392000000,1
FlushQueue.queueSizeMax,1757675108384000000,1757675168392000000,77
FlushQueue.executionTime90PNs,1757675108384000000,1757675168392000000,157695
FlushQueue.queueSizeAvg,1757675108384000000,1757675168392000000,7.3129568106312295
AWTEventQueue.dispatchTimeAvgNs,1757675108384000000,1757675168392000000,137126.94113251413
FlushQueue.executionTimeMaxNs,1757675108384000000,1757675168392000000,373293055
AWTEventQueue.eventsDispatched,1757675108384000000,1757675168392000000,48176
workspaceModel.update.unloaded.entities.ms,1757675108384000000,1757675168392000000,0
workspaceModel.updates.precise.ms,1757675108384000000,1757675168392000000,9
workspaceModel.initializing.ms,1757675108384000000,1757675168392000000,1
workspaceModel.loading.total.ms,1757675108384000000,1757675168392000000,64
workspaceModel.collect.changes.ms,1757675108384000000,1757675168392000000,0
workspaceModel.replace.project.model.ms,1757675108384000000,1757675168392000000,0
workspaceModel.updates.ms,1757675108384000000,1757675168392000000,33
workspaceModel.pre.handlers.ms,1757675108384000000,1757675168392000000,0
workspaceModel.check.recursive.update.ms,1757675108384000000,1757675168392000000,0
workspaceModel.to.snapshot.ms,1757675108384000000,1757675168392000000,1
workspaceModel.updates.count,1757675108384000000,1757675168392000000,3
workspaceModel.loading.from.cache.ms,1757675108384000000,1757675168392000000,59
workspaceModel.init.bridges.ms,1757675108384000000,1757675168392000000,1
Indexes.entries.lookupDurationAvgMs,1757675108384000000,1757675168392000000,0.5897435897435898
Indexes.entries.lookupDuration90PMs,1757675108384000000,1757675168392000000,2.0
Indexes.allKeys.lookups,1757675108384000000,1757675168392000000,0.0
IndexesFlusher.totalContentionQuotaSpent,1757675108384000000,1757675168392000000,0
Indexes.allKeys.lookupDurationMaxMs,1757675108384000000,1757675168392000000,0.0
IndexesFlusher.totalFlushingTimeUs,1757675108384000000,1757675168392000000,214643
IndexesFlusher.totalFlushesRetried,1757675108384000000,1757675168392000000,0
Indexes.stubs.lookups,1757675108384000000,1757675168392000000,879.0
Indexes.stubs.lookupDuration90PMs,1757675108384000000,1757675168392000000,0.0
IndexesFlusher.totalFlushes,1757675108384000000,1757675168392000000,59
Indexes.stubs.lookupDurationAvgMs,1757675108384000000,1757675168392000000,0.11831626848691695
Indexes.entries.lookups,1757675108384000000,1757675168392000000,39.0
Indexes.entries.lookupDurationMaxMs,1757675108384000000,1757675168392000000,5.0
Indexes.allKeys.lookupDuration90PMs,1757675108384000000,1757675168392000000,0.0
Indexes.stubs.lookupDurationMaxMs,1757675108384000000,1757675168392000000,47.0
Indexes.allKeys.lookupDurationAvgMs,1757675108384000000,1757675168392000000,0.0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1757675108384000000,1757675168392000000,0
workspaceModel.orphan.listener.update.ms,1757675108384000000,1757675168392000000,1
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1757675108384000000,1757675168392000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1757675108384000000,1757675168392000000,23
workspaceModel.load.cache.metadata.from.file.ms,1757675108384000000,1757675168392000000,10
jps.facet.change.listener.before.change.events.ms,1757675108384000000,1757675168392000000,0
jps.project.serializers.load.ms,1757675108384000000,1757675168392000000,17
workspaceModel.moduleManagerBridge.load.module.ms,1757675108384000000,1757675168392000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1757675108384000000,1757675168392000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1757675108384000000,1757675168392000000,0
jps.project.serializers.save.ms,1757675108384000000,1757675168392000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1757675108384000000,1757675168392000000,284
workspaceModel.load.cache.from.file.ms,1757675108384000000,1757675168392000000,57
jps.facet.change.listener.init.bridge.ms,1757675108384000000,1757675168392000000,0
jps.app.storage.content.reader.load.component.ms,1757675108384000000,1757675168392000000,1
jps.artifact.entities.serializer.save.entities.ms,1757675108384000000,1757675168392000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1757675108384000000,1757675168392000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1757675108384000000,1757675168392000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1757675108384000000,1757675168392000000,65
jps.load.initial.state.ms,1757675108384000000,1757675168392000000,3
jps.facet.change.listener.process.change.events.ms,1757675108384000000,1757675168392000000,0
jps.library.entities.serializer.load.entities.ms,1757675108384000000,1757675168392000000,0
jps.global.initialize.library.bridges.ms,1757675108384000000,1757675168392000000,0
jps.storage.jps.conf.reader.load.component.ms,1757675108384000000,1757675168392000000,4
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1757675108384000000,1757675168392000000,1
workspaceModel.mutableEntityStorage.to.snapshot.ms,1757675108384000000,1757675168392000000,1
workspaceModel.mutableEntityStorage.replace.by.source.ms,1757675108384000000,1757675168392000000,5
workspaceModel.mutableEntityStorage.put.entity.ms,1757675108384000000,1757675168392000000,4
workspaceModel.global.updates.count,1757675108384000000,1757675168392000000,0
workspaceModel.global.updates.ms,1757675108384000000,1757675168392000000,0
jps.global.get.library.ms,1757675108384000000,1757675168392000000,0
jps.global.get.library.by.name.ms,1757675108384000000,1757675168392000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1757675108384000000,1757675168392000000,0
jps.reload.project.entities.ms,1757675108384000000,1757675168392000000,0
workspaceModel.moduleBridge.update.option.ms,1757675108384000000,1757675168392000000,0
jps.save.global.entities.ms,1757675108384000000,1757675168392000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1757675108384000000,1757675168392000000,0
jps.load.project.to.empty.storage.ms,1757675108384000000,1757675168392000000,40
workspaceModel.moduleManagerBridge.newModule.ms,1757675108384000000,1757675168392000000,0
jps.global.initialize.library.bridges.after.loading.ms,1757675108384000000,1757675168392000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1757675108384000000,1757675168392000000,0
