# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.mutableEntityStorage.referrers.ms,1757602921311000000,1757602926810000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1757602921311000000,1757602926810000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1757602921311000000,1757602926810000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1757602921311000000,1757602926810000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1757602921311000000,1757602926810000000,0
workspaceModel.save.cache.to.file.ms,1757602921311000000,1757602926810000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1757602921311000000,1757602926810000000,0
workspaceModel.load.cache.from.file.ms,1757602921311000000,1757602926810000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1757602921311000000,1757602926810000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1757602921311000000,1757602926810000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1757602921311000000,1757602926810000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1757602921311000000,1757602926810000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1757602921311000000,1757602926810000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1757602921311000000,1757602926810000000,0
workspaceModel.mutableEntityStorage.entities.ms,1757602921311000000,1757602926810000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1757602921311000000,1757602926810000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1757602921311000000,1757602926810000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1757602921311000000,1757602926810000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1757602921311000000,1757602926810000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1757602921311000000,1757602926810000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1757602921311000000,1757602926810000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1757602921311000000,1757602926810000000,0
workspaceModel.load.cache.metadata.from.file.ms,1757602921311000000,1757602926810000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1757602921311000000,1757602926810000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1757602921311000000,1757602926810000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1757602921311000000,1757602926810000000,0
workspaceModel.update.unloaded.entities.ms,1757602921311000000,1757602926810000000,0
workspaceModel.collect.changes.ms,1757602921311000000,1757602926810000000,0
workspaceModel.loading.from.cache.ms,1757602921311000000,1757602926810000000,9
workspaceModel.init.bridges.ms,1757602921311000000,1757602926810000000,0
workspaceModel.updates.count,1757602921311000000,1757602926810000000,0
workspaceModel.updates.ms,1757602921311000000,1757602926810000000,0
workspaceModel.replace.project.model.ms,1757602921311000000,1757602926810000000,0
workspaceModel.loading.total.ms,1757602921311000000,1757602926810000000,14
workspaceModel.to.snapshot.ms,1757602921311000000,1757602926810000000,0
workspaceModel.initializing.ms,1757602921311000000,1757602926810000000,0
workspaceModel.updates.precise.ms,1757602921311000000,1757602926810000000,0
workspaceModel.check.recursive.update.ms,1757602921311000000,1757602926810000000,0
workspaceModel.pre.handlers.ms,1757602921311000000,1757602926810000000,0
WriteAction.executionsCount,1757602921311000000,1757602926810000000,1
NonBlockingReadAction.failedExecutionTimeUs,1757602921311000000,1757602926810000000,0
AWTEventQueue.dispatchTime90PNs,1757602921311000000,1757602926810000000,0
FlushQueue.queueSizeAvg,1757602921311000000,1757602926810000000,0.0
AWTEventQueue.dispatchTimeTotalNS,1757602921311000000,1757602926810000000,4747407296
FlushQueue.executionTimeMaxNs,1757602921311000000,1757602926810000000,0
FlushQueue.queueSize90P,1757602921311000000,1757602926810000000,0
FlushQueue.waitingTime90PNs,1757602921311000000,1757602926810000000,0
ReadAction.executionsCount,1757602921311000000,1757602926810000000,49123
FlushQueue.tasksExecuted,1757602921311000000,1757602926810000000,0
AWTEventQueue.eventsDispatched,1757602921311000000,1757602926810000000,0
FlushQueue.executionTime90PNs,1757602921311000000,1757602926810000000,0
NonBlockingReadAction.finalizedExecutionsCount,1757602921311000000,1757602926810000000,14
FlushQueue.waitingTimeMaxNs,1757602921311000000,1757602926810000000,0
FlushQueue.waitingTimeAvgNs,1757602921311000000,1757602926810000000,0.0
NonBlockingReadAction.failedExecutionsCount,1757602921311000000,1757602926810000000,0
AWTEventQueue.dispatchTimeAvgNs,1757602921311000000,1757602926810000000,0.0
NonBlockingReadAction.finalizedExecutionTimeUs,1757602921311000000,1757602926810000000,27871
FlushQueue.executionTimeAvgNs,1757602921311000000,1757602926810000000,0.0
FlushQueue.queueSizeMax,1757602921311000000,1757602926810000000,0
AWTEventQueue.dispatchTimeMaxNs,1757602921311000000,1757602926810000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1757602921311000000,1757602926810000000,16384
FilePageCacheLockFree.totalPagesAllocated,1757602921311000000,1757602926810000000,2
FilePageCache.pageFastCacheHits,1757602921311000000,1757602926810000000,13394
FilePageCache.maxCacheSizeInBytes,1757602921311000000,1757602926810000000,199229440
FilePageCacheLockFree.housekeeperTimeSpentMs,1757602921311000000,1757602926810000000,11
FilePageCacheLockFree.totalPagesReadMs,1757602921311000000,1757602926810000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1757602921311000000,1757602926810000000,41959424
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1757602921311000000,1757602926810000000,41959424
FilePageCacheLockFree.housekeeperTurnsSkipped,1757602921311000000,1757602926810000000,4237
FilePageCacheLockFree.totalBytesRead,1757602921311000000,1757602926810000000,0
FilePageCache.uncachedFileAccess,1757602921311000000,1757602926810000000,328
FilePageCacheLockFree.totalBytesRequested,1757602921311000000,1757602926810000000,73728
FilePageCacheLockFree.totalPageAllocationsWaited,1757602921311000000,1757602926810000000,0
FilePageCache.totalPageDisposalsUs,1757602921311000000,1757602926810000000,1080
FilePageCacheLockFree.totalNativeBytesAllocated,1757602921311000000,1757602926810000000,16384
FilePageCacheLockFree.totalPagesRequested,1757602921311000000,1757602926810000000,9
FilePageCache.capacityInBytes,1757602921311000000,1757602926810000000,503316478
FilePageCache.pageHits,1757602921311000000,1757602926810000000,0
StorageLockContext.competingThreads.avg,1757602921311000000,1757602926810000000,0.0
DirectByteBufferAllocator.misses,1757602921311000000,1757602926810000000,192
FilePageCache.pageLoads,1757602921311000000,1757602926810000000,193
FilePageCacheLockFree.nativeBytesInUse,1757602921311000000,1757602926810000000,0
FilePageCacheLockFree.totalPagesHandedOver,1757602921311000000,1757602926810000000,0
FilePageCacheLockFree.totalPagesReclaimed,1757602921311000000,1757602926810000000,2
FilePageCacheLockFree.heapBytesInUse,1757602921311000000,1757602926810000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1757602921311000000,1757602926810000000,0
FilePageCache.totalPageLoadsUs,1757602921311000000,1757602926810000000,47442
DirectByteBufferAllocator.disposed,1757602921311000000,1757602926810000000,150
FilePageCacheLockFree.totalBytesWritten,1757602921311000000,1757602926810000000,16
FilePageCache.disposedBuffers,1757602921311000000,1757602926810000000,193
MappedFileStorage.totalBytesMapped,1757602921311000000,1757602926810000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1757602921311000000,1757602926810000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1757602921311000000,1757602926810000000,0
FilePageCacheLockFree.totalPagesWritten,1757602921311000000,1757602926810000000,2
FilePageCacheLockFree.totalPagesWriteMs,1757602921311000000,1757602926810000000,0
MappedFileStorage.totalPagesMapped,1757602921311000000,1757602926810000000,0
StorageLockContext.competingThreads.max,1757602921311000000,1757602926810000000,0
StorageLockContext.competingThreads.90P,1757602921311000000,1757602926810000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1757602921311000000,1757602926810000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1757602921311000000,1757602926810000000,391861
FilePageCacheLockFree.housekeeperTurnsDone,1757602921311000000,1757602926810000000,13
FilePageCacheLockFree.totalPagesRequestsMs,1757602921311000000,1757602926810000000,1
FilePageCache.maxRegisteredFiles,1757602921311000000,1757602926810000000,529
DirectByteBufferAllocator.reclaimed,1757602921311000000,1757602926810000000,45
DirectByteBufferAllocator.hits,1757602921311000000,1757602926810000000,3
MappedFileStorage.storages,1757602921311000000,1757602926810000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1757602921311000000,1757602926810000000,2
