# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FlushQueue.waitingTimeAvgNs,1757676642843000000,1757676648119000000,5.393943533095051E8
AWTEventQueue.eventsDispatched,1757676642843000000,1757676648119000000,1879
NonBlockingReadAction.failedExecutionsCount,1757676642843000000,1757676648119000000,0
AWTEventQueue.dispatchTimeTotalNS,1757676642843000000,1757676648119000000,4574275537
NonBlockingReadAction.finalizedExecutionTimeUs,1757676642843000000,1757676648119000000,26519
AWTEventQueue.dispatchTimeMaxNs,1757676642843000000,1757676648119000000,4496293887
FlushQueue.queueSizeMax,1757676642843000000,1757676648119000000,457
AWTEventQueue.dispatchTime90PNs,1757676642843000000,1757676648119000000,28031
FlushQueue.tasksExecuted,1757676642843000000,1757676648119000000,1273
FlushQueue.executionTimeMaxNs,1757676642843000000,1757676648119000000,15532031
FlushQueue.waitingTimeMaxNs,1757676642843000000,1757676648119000000,3674210303
FlushQueue.executionTimeAvgNs,1757676642843000000,1757676648119000000,43809.35742340927
ReadAction.executionsCount,1757676642843000000,1757676648119000000,48719
FlushQueue.queueSize90P,1757676642843000000,1757676648119000000,361
FlushQueue.executionTime90PNs,1757676642843000000,1757676648119000000,41983
NonBlockingReadAction.finalizedExecutionsCount,1757676642843000000,1757676648119000000,14
AWTEventQueue.dispatchTimeAvgNs,1757676642843000000,1757676648119000000,2441852.0149015435
FlushQueue.waitingTime90PNs,1757676642843000000,1757676648119000000,2348810239
NonBlockingReadAction.failedExecutionTimeUs,1757676642843000000,1757676648119000000,0
WriteAction.executionsCount,1757676642843000000,1757676648119000000,1
FlushQueue.queueSizeAvg,1757676642843000000,1757676648119000000,115.29772191673213
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1757676642843000000,1757676648119000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1757676642843000000,1757676648119000000,0
workspaceModel.load.cache.metadata.from.file.ms,1757676642843000000,1757676648119000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1757676642843000000,1757676648119000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1757676642843000000,1757676648119000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1757676642843000000,1757676648119000000,0
